timestamp,worker_id,request_index,session_id,text,status,elapsed_ms,response,error
2025-10-15T14:52:29.534331Z,3,4,phase10M-cache-test,Load test to verify Deepgram + R2 + cache performance under concurrency.,404,234.69066619873047,"{""_raw"": ""<!doctype html>\n<html lang=en>\n<title>404 Not Found</title>\n<h1>Not Found</h1>\n<p>The requested URL was not found on the server. If you entered the URL manually please check your spelling and try again.</p>\n""}",
2025-10-15T14:52:28.592915Z,4,0,phase10M-cache-test,Final sample line to complete load sequence.,404,1268.8462734222412,"{""_raw"": ""<!doctype html>\n<html lang=en>\n<title>404 Not Found</title>\n<h1>Not Found</h1>\n<p>The requested URL was not found on the server. If you entered the URL manually please check your spelling and try again.</p>\n""}",
2025-10-15T14:52:28.875577Z,4,1,phase10M-cache-test,"Hello, this is Sara AI Core Phase 10M test message one.",404,220.09968757629395,"{""_raw"": ""<!doctype html>\n<html lang=en>\n<title>404 Not Found</title>\n<h1>Not Found</h1>\n<p>The requested URL was not found on the server. If you entered the URL manually please check your spelling and try again.</p>\n""}",
2025-10-15T14:52:29.144366Z,4,2,phase10M-cache-test,This is a second message for the same session to validate caching.,404,224.80297088623047,"{""_raw"": ""<!doctype html>\n<html lang=en>\n<title>404 Not Found</title>\n<h1>Not Found</h1>\n<p>The requested URL was not found on the server. If you entered the URL manually please check your spelling and try again.</p>\n""}",
2025-10-15T14:52:29.455090Z,4,3,phase10M-cache-test,Load test to verify Deepgram + R2 + cache performance under concurrency.,404,271.58594131469727,"{""_raw"": ""<!doctype html>\n<html lang=en>\n<title>404 Not Found</title>\n<h1>Not Found</h1>\n<p>The requested URL was not found on the server. If you entered the URL manually please check your spelling and try again.</p>\n""}",
2025-10-15T14:52:29.776888Z,4,4,phase10M-cache-test,Varying text to ensure cache key behavior remains consistent.,404,261.2462043762207,"{""_raw"": ""<!doctype html>\n<html lang=en>\n<title>404 Not Found</title>\n<h1>Not Found</h1>\n<p>The requested URL was not found on the server. If you entered the URL manually please check your spelling and try again.</p>\n""}",
2025-10-15T14:52:28.425901Z,5,0,phase10M-cache-test,"Hello, this is Sara AI Core Phase 10M test message one.",404,1101.832389831543,"{""_raw"": ""<!doctype html>\n<html lang=en>\n<title>404 Not Found</title>\n<h1>Not Found</h1>\n<p>The requested URL was not found on the server. If you entered the URL manually please check your spelling and try again.</p>\n""}",
2025-10-15T14:52:28.700685Z,5,1,phase10M-cache-test,This is a second message for the same session to validate caching.,404,227.48351097106934,"{""_raw"": ""<!doctype html>\n<html lang=en>\n<title>404 Not Found</title>\n<h1>Not Found</h1>\n<p>The requested URL was not found on the server. If you entered the URL manually please check your spelling and try again.</p>\n""}",
2025-10-15T14:52:28.995174Z,5,2,phase10M-cache-test,Load test to verify Deepgram + R2 + cache performance under concurrency.,404,246.50096893310547,"{""_raw"": ""<!doctype html>\n<html lang=en>\n<title>404 Not Found</title>\n<h1>Not Found</h1>\n<p>The requested URL was not found on the server. If you entered the URL manually please check your spelling and try again.</p>\n""}",
2025-10-15T14:52:29.266039Z,5,3,phase10M-cache-test,Varying text to ensure cache key behavior remains consistent.,404,221.10843658447266,"{""_raw"": ""<!doctype html>\n<html lang=en>\n<title>404 Not Found</title>\n<h1>Not Found</h1>\n<p>The requested URL was not found on the server. If you entered the URL manually please check your spelling and try again.</p>\n""}",
